Format,Signature,Encrypted,Key,In G0 For now Chunk,
mrl3,4D 52 4C 00,FALSE,,,
aid,01 10 09 18 41 49 44 00,FALSE,,,
ctc,43 54 43 00 1C 00 00 00,FALSE,,,
mod3,4D 4F 44 00 ED 00,FALSE,,,
tex,54 45 58 00,FALSE,,,
lmt,4C 4D 54 00,FALSE,,,
epv3,65 70 76 00 33 00 00 00,FALSE,,,
epvsp,01 10 09 18 45 53 50 00,FALSE,,,
wwct,57 57 43 54 06 00 00 00,FALSE,,,
pl,50 4C 00 00 EA 15 00 00,FALSE,,,
shll,01 10 09 18 0B 00 00 00,FALSE,,No,
col,01 10 09 18 43 4F 4C 00,FALSE,,No,
shlp,,TRUE,FZoS8QLyOyeFmkdrz73P9Fh2N4NcTwy3QQPjc1YRII5KWovK6yFuU8SL,No,
ccl,43 43 4C 00 18 06 08 00,FALSE,,No,
aptm,01 10 09 18 0C 00 00 00,FALSE,,No,
bind,01 10 09 18 62 6E 64 00,FALSE,,No,
rspd,72 73 70 64 01 24 04 17,FALSE,,No,
sdl,53 44 4C 00,FALSE,,No,
sbc,53 42 43 FF 20 CA 1A 78,FALSE,,No,
lch,01 10 09 18 6C 63 68 00,FALSE,,No,
timl,74 69 6D 6C,FALSE,,No,
rb,03 00 00 00,FALSE,,No,
hpa,01 10 09 18 48 50 41 00,FALSE,,No,
ipr,69 70 72 00 03 07 01 19,FALSE,,No,
efx,45 46 58 00,FALSE,,No,
wwcot,57 43 4F 54,FALSE,,,
shvl,73 68 76 6C,FALSE,,,
mpi,01 10 09 18 09 00 00 00 4D 50 49 00,FALSE,,,
mbd,01 10 09 18 15 00 00 00,FALSE,,,
at,01 10 09 18 07 00 00 00,FALSE,,,
gma,01 10 09 18 50 4F 41 00,FALSE,,,
rtex,52 54 58 00,FALSE,,,
stc,53 54 41 52,FALSE,,,
rmcs,01 12 11 18 72 6D 63 73,FALSE,,,"Only one file in G0, already bruteforced"
area,01 10 09 18 0A 00 00 00,FALSE,,,"Only one file in G0, already bruteforced"
ptn,01 10 09 18 0A 00 00 00,FALSE,,,"Only one file in G0, already bruteforced"
cms,43 4D 53 00,FALSE,,,
csk,01 10 09 18 43 53 4B 00,FALSE,,,
lcm,4C 43 4D 00,FALSE,,,
push_rate,01 10 09 18 09 01 00 00,FALSE,,,"Only 3 files in G0, already bruteforced"
dlcc,01 10 09 18 58 0F 2C 02,FALSE,,,"Only one file in G0, already bruteforced"
dlcit,01 10 09 18 58 0F 0A 00,FALSE,,,"Only one file in G0, already bruteforced"
dlcpl,01 10 09 18 58 0F 93 00,FALSE,,,"Only one file in G0, already bruteforced"
dlcpd,01 10 09 18 58 0F 01 00,FALSE,,,"Only one file in G0, already bruteforced"
dtt_cmc,01 10 09 18 63 6D 63 6D,FALSE,,,"Only one file in G0, already bruteforced"
dtt_clawc,63 6C 77 63,FALSE,,,"Only one file in G0, already bruteforced"
ecp,01 10 09 18 45 43 50 00,FALSE,,,"Only one file in G0, already bruteforced"
dtt_dif,01 10 09 18 0B 00 00 00,FALSE,,,"Only one file in G0, already bruteforced"
dtt_msf,01 10 09 18 05 00 00 00,FALSE,,,"Only one file in G0, already bruteforced"
